StudentID,SkillID
1,8
1,18
1,11
1,10
1,13
2,18
2,12
2,10
2,9
2,19
3,15
3,4
3,16
3,11
3,7
4,11
4,14
4,2
4,8
5,1
5,9
5,18
6,10
6,5
6,7
6,11
6,8
7,19
7,8
7,16
7,11
7,9
8,16
8,15
8,6
8,12
8,18
9,18
9,16
9,6
10,17
10,2
11,2
11,1
12,5
12,8
12,3
12,20
12,1
13,17
13,15
13,12
14,20
14,16
15,1
15,20
15,18
15,14
15,19
16,17
16,9
17,1
17,17
17,14
17,6
18,4
18,17
19,8
19,7
19,17
20,12
20,9
20,13
20,3
21,13
21,15
21,8
21,18
22,3
22,2
22,20
22,13
23,13
23,18
23,16
23,2
23,1
24,3
24,16
24,14
25,19
25,4
25,17
25,2
26,7
26,19
26,16
27,2
27,3
27,9
27,20
28,11
28,1
28,7
29,13
29,3
29,10
30,19
30,8
30,13
31,13
31,5
31,3
31,17
32,2
32,4
32,14
32,8
33,11
33,13
34,1
34,9
34,15
34,16
35,12
35,18
35,13
36,6
36,19
36,13
36,3
36,10
37,3
37,20
37,9
38,13
38,5
38,20
39,12
39,4
39,3
39,1
40,15
40,12
40,9
40,4
41,3
41,6
41,14
42,18
42,20
42,17
42,14
42,4
43,3
43,12
44,20
44,11
45,1
45,10
45,14
45,13
45,3
46,19
46,17
46,6
47,6
47,5
47,9
47,10
47,18
48,5
48,3
48,6
48,14
48,9
49,10
49,16
49,3
49,12
49,9
50,16
50,7
50,15
51,5
51,10
52,13
52,11
53,11
53,15
53,20
53,14
53,5
54,11
54,7
54,16
54,20
55,13
55,11
55,10
56,19
56,8
56,11
56,13
56,9
57,12
57,4
57,7
57,6
57,1
58,7
58,15
58,10
58,3
58,14
59,5
59,10
59,8
59,9
59,20
60,13
60,3
60,15
60,16
60,20
61,18
61,2
61,12
61,3
61,4
62,12
62,6
62,2
63,11
63,14
63,4
63,1
63,18
64,8
64,17
64,19
64,20
65,12
65,13
65,15
65,17
65,5
66,1
66,16
66,4
66,10
67,3
67,4
67,5
67,12
67,10
68,15
68,7
68,17
68,16
69,16
69,4
69,15
69,18
70,3
70,10
70,2
70,4
71,11
71,4
72,8
72,17
72,6
73,11
73,18
73,14
74,8
74,13
74,6
74,18
74,14
75,1
75,7
75,15
75,14
75,13
76,7
76,20
77,3
77,19
77,4
77,6
78,11
78,7
78,15
78,4
79,16
79,17
79,11
79,13
80,19
80,4
80,12
80,18
80,15
81,10
81,19
81,3
82,11
82,4
82,8
83,4
83,6
83,12
83,5
84,14
84,5
84,13
84,20
84,6
85,18
85,6
85,20
85,19
85,16
86,5
86,6
86,11
86,15
87,12
87,1
88,5
88,7
88,13
88,17
88,16
89,16
89,14
89,15
89,20
89,6
90,19
90,1
91,10
91,2
91,9
92,18
92,10
92,6
93,19
93,16
93,18
93,17
93,4
94,9
94,18
95,18
95,2
95,15
95,7
96,4
96,8
96,10
96,2
96,15
97,12
97,3
97,15
97,4
98,7
98,19
98,12
99,6
99,5
99,7
99,18
99,2
100,18
100,9
100,20
100,6
